Epoch: 0, best acc save: 1.893939393939394
Epoch: 7, best acc save: 12.478956228956228
Epoch: 8, best acc save: 29.429713804713803
Epoch: 9, best acc save: 32.17592592592593
Epoch: 10, best acc save: 39.372895622895626
Epoch: 11, best acc save: 43.63425925925926
Epoch: 12, best acc save: 44.56018518518518
Epoch: 14, best acc save: 44.823232323232325
Epoch: 15, best acc save: 46.696127946127945
Epoch: 16, best acc save: 48.21127946127946
Epoch: 21, best acc save: 49.842171717171716
Epoch: 22, best acc save: 50.599747474747474
Epoch: 24, best acc save: 50.78914141414142
Epoch: 25, best acc save: 51.83080808080808
Epoch: 27, best acc save: 53.81944444444445
Epoch: 28, best acc save: 54.10353535353536
Epoch: 29, best acc save: 56.28156565656566
Epoch: 30, best acc save: 61.39520202020202
Epoch: 32, best acc save: 62.436868686868685
Epoch: 33, best acc save: 62.531565656565654
Epoch: 34, best acc save: 63.57323232323232
Epoch: 37, best acc save: 64.0256734006734
Epoch: 39, best acc save: 64.49915824915824
Epoch: 40, best acc save: 66.41414141414141
Epoch: 43, best acc save: 67.3611111111111
Epoch: 51, best acc save: 68.55008417508418
Epoch: 53, best acc save: 68.57112794612794
Epoch: 58, best acc save: 68.66582491582491
Epoch: 60, best acc save: 71.2962962962963
Epoch: 66, best acc save: 73.09553872053873
Epoch: 74, best acc save: 73.35858585858587
Epoch: 77, best acc save: 74.87373737373738
Epoch: 90, best acc save: 75.27356902356902
Epoch: 92, best acc save: 75.6523569023569
Epoch: 93, best acc save: 75.9364478114478
Epoch: 100, best acc save: 76.22053872053873
Epoch: 105, best acc save: 76.46254208754208
Epoch: 106, best acc save: 76.57828282828284
Epoch: 113, best acc save: 76.86237373737374
Epoch: 125, best acc save: 77.43055555555556
Epoch: 127, best acc save: 77.52525252525253
Epoch: 135, best acc save: 78.09343434343435
